movie_ID,title,genre,running_time,netizen_ratings,num_reviews,num_article,country,rating,companyNm,released_year,released_month,num_viewers
20090939,육혈포 강도단,코미디,107,7.54,2409,563,한국,15세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2010,3,1233582
20090943,스플라이스,SF,103,6.02,2180,119,캐나다,청소년관람불가,(주)화천공사,2010,7,165393
20090945,발렌타인 데이,멜로/로맨스,125,7.08,442,37,미국,15세이상관람가,워너브러더스 코리아(주),2010,2,172997
20090948,그린 존,드라마,114,7.68,1750,114,미국,15세이상관람가,(주)싸이더스,2010,3,606841
20090950,월 스트리트: 머니 네버 슬립스,드라마,133,6.18,825,278,미국,12세이상관람가,이십세기폭스코리아(주),2010,10,245343
20090951,로빈 후드,액션,140,7.25,2484,376,미국,15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),2010,5,1596574
20090952,내니맥피 2: 유모와마법소동,가족,109,8.91,696,11,미국,전체관람가,유니버설픽쳐스인터내셔널 코리아(유),2010,8,210493
20090953,오션스,다큐멘터리,87,7.59,1549,0,프랑스,전체관람가,롯데쇼핑㈜롯데엔터테인먼트,2010,7,650994
20098169,쥬라기 월드,액션,124,7.88,18223,883,미국,12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),2015,6,5546792
20100017,공자 춘추전국시대,드라마,108,6.47,2103,11,중국,12세이상관람가,(주)시너지하우스 (시너지),2010,2,377801
20100018,타이탄,액션,106,6.32,5629,0,미국,12세이상관람가,워너브러더스 코리아(주),2010,4,2685508
20100029,사랑은 언제나 진행중,코미디,93,8.12,604,0,미국,15세이상관람가,(주)시너지하우스 (시너지),2010,3,52193
20100057,참을 수 없는,멜로/로맨스,114,7.4,430,576,한국,청소년관람불가,(주)시너지하우스 (시너지),2010,10,76965
20100077,포스 카인드,SF,97,7.26,2561,0,미국,15세이상관람가,(주)넥스트엔터테인먼트월드(NEW),2010,2,229014
20100098,디어 존,드라마,107,6.84,1689,77,미국,12세이상관람가,(주)화앤담이엔티,2010,3,192530
20100101,프롬 파리 위드 러브,액션,94,7.13,1378,65,프랑스,청소년관람불가,㈜케이디미디어,2010,3,375573
20100103,셔터 아일랜드,드라마,138,8.31,6580,311,미국,15세이상관람가,씨제이엔터테인먼트,2010,3,1006833
20100104,인 디 에어,드라마,108,8.38,1072,13,미국,15세이상관람가,씨제이엔터테인먼트,2010,3,53423
20100105,우리가 꿈꾸는 기적: 인빅터스,드라마,133,8.28,791,120,미국,전체관람가,워너브러더스 코리아(주),2010,3,106443
20100107,비밀애,멜로/로맨스,111,4.83,911,59,한국,청소년관람불가,(주)시너지하우스 (시너지),2010,3,167132
20100115,대병소장,액션,95,6.97,1455,0,홍콩,12세이상관람가,(주)싸이더스,2010,3,98435
20100116,솔로몬 케인,액션,104,5.17,702,18,프랑스,청소년관람불가,(주)화앤담이엔티,2010,3,126855
20100129,반가운 살인자,코미디,107,7.6,3532,827,한국,15세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2010,4,599176
20100131,베스트셀러,미스터리,117,7.61,3328,901,한국,15세이상관람가,(주)시너지하우스 (시너지),2010,4,1099665
20100141,아마존의 눈물,다큐멘터리,88,8.42,125,430,한국,15세이상관람가,주식회사 마운틴픽쳐스,2010,3,105886
20100143,일라이,액션,117,7.15,2697,13,미국,15세이상관람가,(주)쇼박스,2010,4,222927
20100165,블라인드 사이드,드라마,128,9.3,4836,41,미국,12세이상관람가,워너브러더스 코리아(주),2010,4,359899
20100166,케로로 더 무비 5: 기적의 사차원섬,애니메이션,74,8.02,165,0,일본,전체관람가,투니버스(주)온미디어,2010,4,116992
20100168,친정엄마,드라마,108,9.26,2530,394,한국,전체관람가,(주)싸이더스,2010,4,478822
20100169,킥 애스: 영웅의 탄생,액션,117,8.48,3543,179,영국,청소년관람불가,롯데쇼핑㈜롯데엔터테인먼트,2010,4,153849
20100176,허트 로커,드라마,130,8.4,3038,309,미국,15세이상관람가,(주)넥스트엔터테인먼트월드(NEW),2010,4,177509
20100193,페르시아의 왕자: 시간의 모래,액션,116,8.68,4762,53,미국,12세이상관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2010,5,2003533
20100198,대한민국 1%,드라마,105,6.28,1724,478,한국,12세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2010,5,447569
20100202,하하하,드라마,116,8.11,803,3505,한국,청소년관람불가,(주)스폰지이엔티,2010,5,57234
20100206,꿈은 이루어진다,코미디,113,7.16,866,196,한국,15세이상관람가,씨제이엔터테인먼트,2010,5,103627
20100209,이끼,드라마,163,7.03,8086,5023,한국,청소년관람불가,씨제이엔터테인먼트,2010,7,3408144
20100210,맨발의 꿈,드라마,121,9.27,3496,1046,한국,전체관람가,(주)쇼박스,2010,6,338080
20100213,부당거래,범죄,119,8.67,6296,6316,한국,청소년관람불가,씨제이엔터테인먼트,2010,10,2766436
20100256,내 깡패 같은 애인,드라마,105,9.06,5624,1771,한국,15세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2010,5,699973
20100278,유령작가,미스터리,128,7.08,1013,197,프랑스,15세이상관람가,(주)싸이더스,2010,6,180826
20100281,김복남 살인사건의 전말,스릴러,115,8.73,3851,2321,한국,청소년관람불가,(주)스폰지이엔티,2010,9,164450
20100285,섹스 앤 더 시티 2,드라마,144,7.77,825,102,미국,청소년관람불가,워너브러더스 코리아(주),2010,6,405580
20100291,스트리트댄스,드라마,98,7.39,441,15,영국,12세이상관람가,(주)시너지하우스 (시너지),2010,6,130153
20100292,베스트 키드,가족,140,8.04,1612,16,미국,12세이상관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2010,6,292529
20100295,A-특공대,액션,119,8.93,4302,66,미국,15세이상관람가,이십세기폭스코리아(주),2010,6,791173
20100296,포화속으로,드라마,120,8.23,19759,2020,한국,12세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2010,6,3385706
20100300,죽이고 싶은,스릴러,92,7.13,1189,225,한국,청소년관람불가,롯데쇼핑㈜롯데엔터테인먼트,2010,8,133079
20100301,악마를 보았다,스릴러,144,7.88,12260,3906,한국,청소년관람불가,(주)쇼박스,2010,8,1848418
20100302,심야의 F.M.,스릴러,106,6.84,2999,1282,한국,청소년관람불가,롯데쇼핑㈜롯데엔터테인먼트,2010,10,1228673
